,규모,면적,신축년도,용도지역,주소
385,지상19/지하1,"7,897㎡",1992년 06월 30일,3종일주,광주광역시 북구 오치동 862-9
386,지상1/지하0,"5,865㎡",1994년 02월 28일,3종일주,광주광역시 북구 오치동 866-2
387,지상15/지하1,"4,696.2㎡",1991년 03월 20일,준주거,광주광역시 북구 오치동 940-1
388,지상1/지하0,"6,468㎡",1995년 07월 20일,3종일주,광주광역시 북구 오치동 925-1
389,지상15/지하1,"9,897㎡",1991년 06월 29일,3종일주,광주광역시 북구 오치동 872-2
390,지상2/지하0,"1,929㎡",1996년 12월 24일,2종일주,광주광역시 북구 오치동 762
391,지상13/지하1,"2,021㎡",1998년 02월 18일,3종일주,광주광역시 북구 오치동 862-10
392,지상2/지하1,"2,484.6㎡",1993년 08월 04일,2종일주,광주광역시 북구 오치동 984-2
393,지상18/지하1,"2,828㎡",1995년 03월 31일,3종일주,광주광역시 북구 오치동 929-1
394,지상5/지하1,"4,466.3㎡",1979년 10월 23일,2종일주,광주광역시 북구 오치동 972-1
395,지상9/지하1,"1,253㎡",2002년 04월 22일,근린상업,광주광역시 북구 오치동 857-9
396,지상1/지하0,"1,523㎡",1993년 06월 22일,2종일주,광주광역시 북구 오치동 985-1
397,지상9/지하1,"1,263.1㎡",,2종일주,광주광역시 북구 오치동 984-6
398,지상10/지하1,904.4㎡,1995년 01월 07일,2종일주,광주광역시 북구 오치동 981-7
399,지상5/지하0,"2,468㎡",1983년 02월 17일,2종일주,광주광역시 북구 오치동 980-14
400,지상5/지하1,"1,040.6㎡",1982년 10월 28일,2종일주,광주광역시 북구 오치동 934-6
401,지상5/지하1,"1,026.6㎡",1992년 10월 26일,2종일주,광주광역시 북구 오치동 934-3
402,지상5/지하1,"2,511.7㎡",1978년 01월 30일,2종일주,광주광역시 북구 오치동 924-13
403,지상9/지하1,734㎡,2013년 12월 18일,근린상업,광주광역시 북구 오치동 857-16
404,지상8/지하1,733㎡,2014년 10월 29일,근린상업,광주광역시 북구 오치동 857-14
405,지상14/지하1,810㎡,2013년 01월 28일,근린상업,광주광역시 북구 오치동 856-25
406,지상9/지하1,295㎡,2013년 05월 30일,근린상업,광주광역시 북구 오치동 857-10
407,지상11/지하1,"1,797㎡",2014년 02월 21일,근린상업,광주광역시 북구 오치동 856-7
408,지상2/지하0,"5,324㎡",2012년 07월 08일,3종일주,광주광역시 북구 오치동 855-9
409,지상15/지하1,"11,324㎡",1990년 10월 31일,3종일주,광주광역시 북구 오치동 406
410,지상15/지하1,"16,439㎡",1997년 06월 17일,3종일주,광주광역시 북구 양산동 205-6
411,지상7/지하1,"7,047㎡",1996년 06월 04일,3종일주,광주광역시 북구 양산동 611-7
412,지상2/지하1,"6,698㎡",1991년 05월 28일,3종일주,광주광역시 북구 양산동 366-1
413,지상2/지하1,"13,808㎡",1996년 01월 18일,3종일주,광주광역시 북구 양산동 205-1
414,지상2/지하1,"3,259㎡",1997년 10월 25일,3종일주,광주광역시 북구 양산동 288-16
415,지상3/지하1,"4,653㎡",1993년 03월 29일,3종일주,광주광역시 북구 양산동 249-33
416,지상13/지하1,"4,819㎡",1991년 11월 09일,3종일주,광주광역시 북구 양산동 209-17
417,지상14/지하1,"2,160.6㎡",2016년 08월 26일,일반상업,광주광역시 북구 양산동 804
418,지상9/지하0,431.9㎡,2013년 07월 31일,일반상업,광주광역시 북구 양산동 806-1
419,지상9/지하0,436.9㎡,2013년 08월 29일,일반상업,광주광역시 북구 양산동 806
420,지상9/지하0,431.4㎡,2013년 09월 12일,일반상업,광주광역시 북구 양산동 805-1
421,지상9/지하0,436.2㎡,2013년 10월 14일,일반상업,광주광역시 북구 양산동 805
422,지상20/지하1,"7,486㎡",1992년 12월 28일,3종일주,광주광역시 북구 양산동 209-8
423,지상15/지하1,"18,889㎡",2004년 12월 02일,2종일주,광주광역시 북구 양산동 687
424,지상12/지하1,"51,435.3㎡",2011년 11월 14일,2종일주,광주광역시 광산구 선암동 540
425,지상13/지하1,"8,423㎡",2000년 01월 25일,2종일주,광주광역시 광산구 송정동 238
426,지상13/지하1,"14,762㎡",1998년 01월 09일,3종일주,광주광역시 광산구 송정동 918-3
427,지상3/지하1,"10,601㎡",1997년 03월 18일,2종일주,광주광역시 광산구 송정동 593
428,지상13/지하1,"8,002㎡",1995년 07월 22일,2종일주,광주광역시 광산구 송정동 230-8
429,지상14/지하1,"2,524㎡",1999년 10월 28일,2종일주,광주광역시 광산구 송정동 948-4
430,지상14/지하1,"1,177㎡",2017년 01월 05일,일반상업,광주광역시 광산구 송정동 763-12
431,지상13/지하1,"1,105㎡",2016년 06월 14일,일반상업,광주광역시 광산구 송정동 840-33
432,지상5/지하0,"1,043㎡",1983년 06월 21일,2종일주,광주광역시 광산구 송정동 876-1
433,지상5/지하0,572㎡,1983년 06월 21일,2종일주,광주광역시 광산구 송정동 876
434,지상14/지하1,716㎡,2016년 01월 13일,일반상업,광주광역시 광산구 송정동 859-7
435,지상14/지하1,707㎡,2016년 01월 13일,일반상업,광주광역시 광산구 송정동 859-3
436,지상9/지하1,"2,550㎡",1991년 12월 06일,2종일주,광주광역시 광산구 송정동 815-8
437,지상8/지하0,466㎡,2014년 07월 23일,일반상업,광주광역시 광산구 송정동 754-2
438,지상1/지하0,"5,288㎡",1997년 07월 18일,2종일주,광주광역시 광산구 송정동 266
439,지상1/지하0,"3,511㎡",1984년 07월 03일,2종일주,광주광역시 광산구 송정동 880-2
440,지상13/지하1,"10,977㎡",1997년 01월 14일,2종일주,광주광역시 광산구 송정동 425-2
441,지상9/지하1,"6,139㎡",1998년 03월 05일,2종일주,광주광역시 광산구 송정동 202
